first_frame;second_frame;moved
Cam_1_2016-07-20T23:54:25.129402Z--2016-07-21T00:00:04.975934Z.jpg;Cam_1_2016-07-21T23:54:46.583873Z--2016-07-22T00:00:26.429425Z.jpg;1
Cam_1_2016-07-21T23:54:46.583873Z--2016-07-22T00:00:26.429425Z.jpg;Cam_1_2016-07-22T23:59:15.346329Z--2016-07-23T00:04:54.812750Z.jpg;0
Cam_1_2016-07-22T23:59:15.346329Z--2016-07-23T00:04:54.812750Z.jpg;Cam_1_2016-07-23T23:57:07.602166Z--2016-07-24T00:02:47.447779Z.jpg;0
Cam_1_2016-07-23T23:57:07.602166Z--2016-07-24T00:02:47.447779Z.jpg;Cam_1_2016-07-24T23:57:27.742700Z--2016-07-25T00:03:07.590169Z.jpg;1
Cam_1_2016-07-24T23:57:27.742700Z--2016-07-25T00:03:07.590169Z.jpg;Cam_1_2016-07-25T23:55:20.727877Z--2016-07-26T00:01:00.573434Z.jpg;1
Cam_1_2016-07-25T23:55:20.727877Z--2016-07-26T00:01:00.573434Z.jpg;Cam_1_2016-07-26T23:54:23.910675Z--2016-07-27T00:00:03.758981Z.jpg;1
Cam_1_2016-07-26T23:54:23.910675Z--2016-07-27T00:00:03.758981Z.jpg;Cam_1_2016-07-27T23:58:04.552199Z--2016-07-28T00:03:44.397680Z.jpg;1
Cam_1_2016-07-27T23:58:04.552199Z--2016-07-28T00:03:44.397680Z.jpg;Cam_1_2016-07-28T23:58:18.765788Z--2016-07-29T00:03:58.611587Z.jpg;1
Cam_1_2016-07-28T23:58:18.765788Z--2016-07-29T00:03:58.611587Z.jpg;Cam_1_2016-07-29T23:55:44.435849Z--2016-07-30T00:01:24.282344Z.jpg;1
Cam_1_2016-07-29T23:55:44.435849Z--2016-07-30T00:01:24.282344Z.jpg;Cam_1_2016-07-30T23:56:28.546104Z--2016-07-31T00:02:08.391157Z.jpg;0
Cam_1_2016-07-30T23:56:28.546104Z--2016-07-31T00:02:08.391157Z.jpg;Cam_1_2016-07-31T23:57:04.012138Z--2016-08-01T00:02:43.859167Z.jpg;1
Cam_1_2016-07-31T23:57:04.012138Z--2016-08-01T00:02:43.859167Z.jpg;Cam_1_2016-08-01T23:58:58.602942Z--2016-08-02T00:04:38.448040Z.jpg;1
Cam_1_2016-08-01T23:58:58.602942Z--2016-08-02T00:04:38.448040Z.jpg;Cam_1_2016-08-02T23:59:19.767354Z--2016-08-03T00:04:59.613163Z.jpg;0
Cam_1_2016-08-02T23:59:19.767354Z--2016-08-03T00:04:59.613163Z.jpg;Cam_1_2016-08-03T23:58:20.708827Z--2016-08-04T00:04:00.554420Z.jpg;1
Cam_1_2016-08-03T23:58:20.708827Z--2016-08-04T00:04:00.554420Z.jpg;Cam_1_2016-08-04T23:58:26.277224Z--2016-08-05T00:04:06.123594Z.jpg;1
Cam_1_2016-08-04T23:58:26.277224Z--2016-08-05T00:04:06.123594Z.jpg;Cam_1_2016-08-05T23:54:59.421043Z--2016-08-06T00:00:39.267694Z.jpg;1
Cam_1_2016-08-05T23:54:59.421043Z--2016-08-06T00:00:39.267694Z.jpg;Cam_1_2016-08-06T23:55:15.265288Z--2016-08-07T00:00:55.108972Z.jpg;0
Cam_1_2016-08-06T23:55:15.265288Z--2016-08-07T00:00:55.108972Z.jpg;Cam_1_2016-08-07T23:55:40.737498Z--2016-08-08T00:01:20.583525Z.jpg;0
Cam_1_2016-08-07T23:55:40.737498Z--2016-08-08T00:01:20.583525Z.jpg;Cam_1_2016-08-08T23:57:30.267152Z--2016-08-09T00:03:10.114616Z.jpg;0
Cam_1_2016-08-08T23:57:30.267152Z--2016-08-09T00:03:10.114616Z.jpg;Cam_1_2016-08-12T23:59:04.667612Z--2016-08-13T00:04:44.514546Z.jpg;0
Cam_1_2016-08-12T23:59:04.667612Z--2016-08-13T00:04:44.514546Z.jpg;Cam_1_2016-08-13T23:59:39.113018Z--2016-08-14T00:05:18.957567Z.jpg;0
Cam_1_2016-08-13T23:59:39.113018Z--2016-08-14T00:05:18.957567Z.jpg;Cam_1_2016-08-14T23:59:50.300717Z--2016-08-15T00:05:30.146763Z.jpg;0
Cam_1_2016-08-14T23:59:50.300717Z--2016-08-15T00:05:30.146763Z.jpg;Cam_1_2016-08-15T23:56:23.576954Z--2016-08-16T00:02:03.423838Z.jpg;0
Cam_1_2016-08-15T23:56:23.576954Z--2016-08-16T00:02:03.423838Z.jpg;Cam_1_2016-08-16T23:56:44.395343Z--2016-08-17T00:02:24.242269Z.jpg;0
Cam_1_2016-08-16T23:56:44.395343Z--2016-08-17T00:02:24.242269Z.jpg;Cam_1_2016-08-17T23:54:58.638873Z--2016-08-18T00:00:38.484693Z.jpg;0
