first_frame;second_frame;moved
Cam_0_2016-07-20T23:55:06.659237Z--2016-07-21T00:00:54.807835Z.jpg;Cam_0_2016-07-21T23:57:12.754348Z--2016-07-22T00:02:52.599861Z.jpg;1
Cam_0_2016-07-21T23:57:12.754348Z--2016-07-22T00:02:52.599861Z.jpg;Cam_0_2016-07-22T23:58:16.165461Z--2016-07-23T00:03:56.012115Z.jpg;0
Cam_0_2016-07-22T23:58:16.165461Z--2016-07-23T00:03:56.012115Z.jpg;Cam_0_2016-07-23T23:57:07.269050Z--2016-07-24T00:02:47.115541Z.jpg;1
Cam_0_2016-07-23T23:57:07.269050Z--2016-07-24T00:02:47.115541Z.jpg;Cam_0_2016-07-24T23:57:26.747757Z--2016-07-25T00:03:06.592869Z.jpg;1
Cam_0_2016-07-24T23:57:26.747757Z--2016-07-25T00:03:06.592869Z.jpg;Cam_0_2016-07-25T23:55:17.404474Z--2016-07-26T00:00:57.250765Z.jpg;1
Cam_0_2016-07-25T23:55:17.404474Z--2016-07-26T00:00:57.250765Z.jpg;Cam_0_2016-07-26T23:54:23.910645Z--2016-07-27T00:00:04.095579Z.jpg;1
Cam_0_2016-07-26T23:54:23.910645Z--2016-07-27T00:00:04.095579Z.jpg;Cam_0_2016-07-27T23:58:04.218464Z--2016-07-28T00:03:44.066505Z.jpg;1
Cam_0_2016-07-27T23:58:04.218464Z--2016-07-28T00:03:44.066505Z.jpg;Cam_0_2016-07-28T23:57:08.005598Z--2016-07-29T00:02:47.851496Z.jpg;1
Cam_0_2016-07-28T23:57:08.005598Z--2016-07-29T00:02:47.851496Z.jpg;Cam_0_2016-07-29T23:55:44.435850Z--2016-07-30T00:01:24.282398Z.jpg;1
Cam_0_2016-07-29T23:55:44.435850Z--2016-07-30T00:01:24.282398Z.jpg;Cam_0_2016-07-30T23:55:57.980694Z--2016-07-31T00:01:37.826083Z.jpg;0
Cam_0_2016-07-30T23:55:57.980694Z--2016-07-31T00:01:37.826083Z.jpg;Cam_0_2016-07-31T23:56:13.847378Z--2016-08-01T00:01:53.694178Z.jpg;0
Cam_0_2016-07-31T23:56:13.847378Z--2016-08-01T00:01:53.694178Z.jpg;Cam_0_2016-08-01T23:58:58.602903Z--2016-08-02T00:04:38.447995Z.jpg;1
Cam_0_2016-08-01T23:58:58.602903Z--2016-08-02T00:04:38.447995Z.jpg;Cam_0_2016-08-02T23:59:21.759028Z--2016-08-03T00:05:01.606160Z.jpg;0
Cam_0_2016-08-02T23:59:21.759028Z--2016-08-03T00:05:01.606160Z.jpg;Cam_0_2016-08-03T23:58:26.359546Z--2016-08-04T00:04:06.866829Z.jpg;1
Cam_0_2016-08-03T23:58:26.359546Z--2016-08-04T00:04:06.866829Z.jpg;Cam_0_2016-08-04T23:58:42.222781Z--2016-08-05T00:04:22.069455Z.jpg;1
Cam_0_2016-08-04T23:58:42.222781Z--2016-08-05T00:04:22.069455Z.jpg;Cam_0_2016-08-05T23:54:58.756531Z--2016-08-06T00:00:38.604675Z.jpg;1
Cam_0_2016-08-05T23:54:58.756531Z--2016-08-06T00:00:38.604675Z.jpg;Cam_0_2016-08-06T23:55:04.299939Z--2016-08-07T00:00:44.150769Z.jpg;0
Cam_0_2016-08-06T23:55:04.299939Z--2016-08-07T00:00:44.150769Z.jpg;Cam_0_2016-08-07T23:55:27.116906Z--2016-08-08T00:01:06.963218Z.jpg;0
Cam_0_2016-08-07T23:55:27.116906Z--2016-08-08T00:01:06.963218Z.jpg;Cam_0_2016-08-08T23:57:29.935023Z--2016-08-09T00:03:09.781010Z.jpg;0
Cam_0_2016-08-08T23:57:29.935023Z--2016-08-09T00:03:09.781010Z.jpg;Cam_0_2016-08-09T23:55:15.591380Z--2016-08-10T00:00:55.437638Z.jpg;0
Cam_0_2016-08-09T23:55:15.591380Z--2016-08-10T00:00:55.437638Z.jpg;Cam_0_2016-08-10T23:55:21.124131Z--2016-08-11T00:01:00.970709Z.jpg;1
Cam_0_2016-08-10T23:55:21.124131Z--2016-08-11T00:01:00.970709Z.jpg;Cam_0_2016-08-11T23:55:26.646542Z--2016-08-12T00:01:06.493196Z.jpg;1
Cam_0_2016-08-11T23:55:26.646542Z--2016-08-12T00:01:06.493196Z.jpg;Cam_0_2016-08-12T23:59:04.667523Z--2016-08-13T00:04:44.514594Z.jpg;0
Cam_0_2016-08-12T23:59:04.667523Z--2016-08-13T00:04:44.514594Z.jpg;Cam_0_2016-08-13T23:59:38.779144Z--2016-08-14T00:05:18.624616Z.jpg;0
Cam_0_2016-08-13T23:59:38.779144Z--2016-08-14T00:05:18.624616Z.jpg;Cam_0_2016-08-14T23:59:44.986170Z--2016-08-15T00:05:24.831686Z.jpg;0
Cam_0_2016-08-14T23:59:44.986170Z--2016-08-15T00:05:24.831686Z.jpg;Cam_0_2016-08-15T23:56:23.910407Z--2016-08-16T00:02:03.757812Z.jpg;1
Cam_0_2016-08-15T23:56:23.910407Z--2016-08-16T00:02:03.757812Z.jpg;Cam_0_2016-08-16T23:58:26.382994Z--2016-08-17T00:04:06.231644Z.jpg;1
Cam_0_2016-08-16T23:58:26.382994Z--2016-08-17T00:04:06.231644Z.jpg;Cam_0_2016-08-17T23:54:55.981635Z--2016-08-18T00:00:35.827125Z.jpg;0
Cam_0_2016-08-17T23:54:55.981635Z--2016-08-18T00:00:35.827125Z.jpg;Cam_0_2016-08-18T23:59:24.636996Z--2016-08-19T00:05:04.484271Z.jpg;0
